AP Name,Base Radio MAC Address,Map Location
NU-AP00001,5c:5a:c7:85:84:a0,VU-Campus > NU.VU > Beganegrond
NU-AP00002,5c:5a:c7:44:08:40,VU-Campus > NU.VU > Beganegrond
NU-AP00003,5c:5a:c7:66:54:a0,VU-Campus > NU.VU > Beganegrond
NU-AP00004,5c:5a:c7:84:52:c0,VU-Campus > NU.VU > Beganegrond
NU-AP00005,5c:5a:c7:84:54:20,VU-Campus > NU.VU > Beganegrond
NU-AP00006,5c:5a:c7:44:34:e0,VU-Campus > NU.VU > Beganegrond
NU-AP00007,5c:5a:c7:88:0a:00,VU-Campus > NU.VU > Beganegrond
NU-AP00008,5c:5a:c7:44:35:a0,VU-Campus > NU.VU > Beganegrond
NU-AP00009,5c:5a:c7:44:34:80,VU-Campus > NU.VU > Beganegrond
NU-AP01010,5c:5a:c7:84:8f:c0,VU-Campus > NU.VU > 01
NU-AP01011,5c:5a:c7:66:77:e0,VU-Campus > NU.VU > 01
NU-AP01013,5c:5a:c7:84:96:a0,VU-Campus > NU.VU > 01
NU-AP01014,5c:5a:c7:66:67:80,VU-Campus > NU.VU > 01
NU-AP01015,5c:5a:c7:66:73:a0,VU-Campus > NU.VU > 01
NU-AP01016,5c:5a:c7:43:d4:20,VU-Campus > NU.VU > 01
NU-AP01017,5c:5a:c7:66:74:c0,VU-Campus > NU.VU > 01
NU-AP01018,5c:5a:c7:85:9a:a0,VU-Campus > NU.VU > 01
NU-AP01019,5c:5a:c7:84:5f:e0,VU-Campus > NU.VU > 01
NU-AP01020,5c:5a:c7:72:bb:20,VU-Campus > NU.VU > 01
NU-AP01021,5c:5a:c7:44:40:a0,VU-Campus > NU.VU > 01
NU-AP01022,5c:5a:c7:44:3f:c0,VU-Campus > NU.VU > 01
NU-AP01023,5c:5a:c7:85:58:e0,VU-Campus > NU.VU > 01
NU-AP01024,5c:5a:c7:44:31:20,VU-Campus > NU.VU > 01
NU-AP01025,5c:5a:c7:85:59:20,VU-Campus > NU.VU > 01
NU-AP01026,5c:5a:c7:44:31:60,VU-Campus > NU.VU > 01
NU-AP01027,5c:5a:c7:44:09:a0,VU-Campus > NU.VU > 01
NU-AP01028,5c:5a:c7:85:5e:40,VU-Campus > NU.VU > 01
NU-AP01029,5c:5a:c7:64:f3:40,VU-Campus > NU.VU > 01
NU-AP02030,5c:5a:c7:66:69:40,VU-Campus > NU.VU > 02
NU-AP02031,5c:5a:c7:8b:07:a0,VU-Campus > NU.VU > 02
NU-AP02032,5c:5a:c7:66:76:20,VU-Campus > NU.VU > 02
NU-AP02033,5c:5a:c7:66:67:a0,VU-Campus > NU.VU > 02
NU-AP02034,5c:5a:c7:84:8c:80,VU-Campus > NU.VU > 02
NU-AP02035,5c:5a:c7:84:91:00,VU-Campus > NU.VU > 02
NU-AP02036,5c:5a:c7:85:98:e0,VU-Campus > NU.VU > 02
NU-AP02037,5c:5a:c7:66:73:e0,VU-Campus > NU.VU > 02
NU-AP02038,5c:5a:c7:44:31:80,VU-Campus > NU.VU > 02
NU-AP02039,5c:5a:c7:85:98:c0,VU-Campus > NU.VU > 02
NU-AP02040,5c:5a:c7:85:8c:e0,VU-Campus > NU.VU > 02
NU-AP02041,5c:5a:c7:44:35:c0,VU-Campus > NU.VU > 02
NU-AP02042,5c:5a:c7:44:31:40,VU-Campus > NU.VU > 02
NU-AP02043,5c:5a:c7:64:f7:e0,VU-Campus > NU.VU > 02
NU-AP02044,5c:5a:c7:88:0b:00,VU-Campus > NU.VU > 02
NU-AP02045,5c:5a:c7:88:17:c0,VU-Campus > NU.VU > 02
NU-AP02046,5c:5a:c7:44:35:60,VU-Campus > NU.VU > 02
NU-AP02047,5c:5a:c7:44:37:60,VU-Campus > NU.VU > 02
NU-AP02048,5c:5a:c7:64:f7:a0,VU-Campus > NU.VU > 02
NU-AP02049,5c:5a:c7:8b:08:00,VU-Campus > NU.VU > 02
NU-AP02050,5c:5a:c7:87:e9:60,VU-Campus > NU.VU > 02
NU-AP02051,10:b3:d5:0a:2e:00,VU-Campus > NU.VU > 02
NU-AP02052,10:b3:d5:f4:7e:c0,VU-Campus > NU.VU > 02
NU-AP02053,10:b3:d5:33:98:c0,VU-Campus > NU.VU > 02
NU-AP02054,5c:5a:c7:44:0c:e0,VU-Campus > NU.VU > 02
NU-AP02055,10:b3:d5:95:2b:40,VU-Campus > NU.VU > 02
NU-AP02056,5c:5a:c7:85:61:e0,VU-Campus > NU.VU > 02
NU-AP02057,10:b3:d5:f2:2e:c0,VU-Campus > NU.VU > 02
NU-AP02058,10:b3:d5:95:2c:40,VU-Campus > NU.VU > 02
NU-AP02059,5c:5a:c7:72:ab:c0,VU-Campus > NU.VU > 02
NU-AP02060,5c:5a:c7:85:5a:40,VU-Campus > NU.VU > 02
NU-AP02061,5c:5a:c7:72:f2:60,VU-Campus > NU.VU > 02
NU-AP03062,5c:5a:c7:84:53:80,VU-Campus > NU.VU > 03
NU-AP03063,5c:5a:c7:64:e3:e0,VU-Campus > NU.VU > 03
NU-AP03064,5c:5a:c7:64:e1:a0,VU-Campus > NU.VU > 03
NU-AP03065,5c:5a:c7:44:35:80,VU-Campus > NU.VU > 03
NU-AP03066,5c:5a:c7:85:5c:e0,VU-Campus > NU.VU > 03
NU-AP03067,5c:5a:c7:64:ec:c0,VU-Campus > NU.VU > 03
NU-AP03068,5c:5a:c7:66:59:80,VU-Campus > NU.VU > 03
NU-AP03069,5c:5a:c7:72:c5:60,VU-Campus > NU.VU > 03
NU-AP03070,00:ea:bd:b1:56:40,VU-Campus > NU.VU > 03
NU-AP03071,5c:5a:c7:64:d8:60,VU-Campus > NU.VU > 03
NU-AP03072,5c:5a:c7:44:30:c0,VU-Campus > NU.VU > 03
NU-AP03073,5c:5a:c7:44:36:e0,VU-Campus > NU.VU > 03
NU-AP03074,5c:5a:c7:85:68:00,VU-Campus > NU.VU > 03
NU-AP03075,5c:5a:c7:84:89:a0,VU-Campus > NU.VU > 03
NU-AP03076,5c:5a:c7:44:08:e0,VU-Campus > NU.VU > 03
NU-AP03077,5c:5a:c7:84:56:00,VU-Campus > NU.VU > 03
NU-AP03078,5c:5a:c7:85:57:80,VU-Campus > NU.VU > 03
NU-AP03079,5c:5a:c7:66:59:a0,VU-Campus > NU.VU > 03
NU-AP03080,5c:5a:c7:6f:5c:00,VU-Campus > NU.VU > 03
NU-AP03081,5c:5a:c7:6f:61:40,VU-Campus > NU.VU > 03
NU-AP03082,10:b3:d5:77:43:20,VU-Campus > NU.VU > 03
